book,chapter,verse,reference,text
창세기,1,1,창세기 1:1,태초에 하나님이 천지를 창조하시니라
창세기,1,2,창세기 1:2,땅이 혼돈하고 공허하며 흑암이 깊음 위에 있고 하나님의 신은 수면에 운행하시니라
창세기,1,3,창세기 1:3,하나님이 가라사대 빛이 있으라 하시매 빛이 있었고
창세기,1,4,창세기 1:4,그 빛이 하나님의 보시기에 좋았더라 하나님이 빛과 어두움을 나누사
창세기,1,5,창세기 1:5,빛을 낮이라 칭하시고 어두움을 밤이라 칭하시니라 저녁이 되며 아침이 되니 이는 첫째 날이니라
창세기,1,6,창세기 1:6,하나님이 가라사대 물 가운데 궁창이 있어 물과 물로 나뉘게 하리라 ! 하시고
창세기,1,7,창세기 1:7,하나님이 궁창을 만드사 궁창 아래의 물과 궁창 위의 물로 나뉘게 하시매 그대로 되니라
창세기,1,8,창세기 1:8,하나님이 궁창을 하늘이라 칭하시니라 저녁이 되며 아침이 되니 이는 둘째 날이니라
창세기,1,9,창세기 1:9,하나님이 가라사대 천하의 물이 한곳으로 모이고 뭍이 드러나라 ! 하시매 그대로 되니라
창세기,1,11,창세기 1:11,하나님이 가라사대 땅은 풀과 씨 맺는 채소와 각기 종류대로 씨 가진 열매 맺는 과목을 내라 하시매 그대로 되어
창세기,1,13,창세기 1:13,저녁이 되며 아침이 되니 이는 세째 날이니라
창세기,1,14,창세기 1:14,하나님이 가라사대 하늘의 궁창에 광명이 있어 주야를 나뉘게 하라 또 그 광명으로 하여 징조와 사시와 일자와 연한이 이루라
창세기,1,15,창세기 1:15,또 그 광명이 하늘의 궁창에 있어 땅에 비취라 하시고
창세기,1,16,창세기 1:16,하나님이 두 큰 광명을 만드사 큰 광명으로 낮을 주관하게 하시고 작은 광명으로 밤을 주관하게 하시며 또 별들을 만드시고
창세기,1,17,창세기 1:17,하나님이 그것들을 하늘의 궁창에 두어 땅에 비취게 하시며
창세기,1,19,창세기 1:19,저녁이 되며 아침이 되니 이는 네째 날이니라
창세기,1,20,창세기 1:20,하나님이 가라사대 물들은 생물로 번성케 하라 땅 위 하늘의 궁창에는 새가 날으라 하시고
창세기,1,22,창세기 1:22,하나님이 그들에게 복을 주어 가라사대 생육하고 번성하여 여러 바다물에 충만하라 새들도 땅에 번성하라 하시니라
창세기,1,23,창세기 1:23,저녁이 되며 아침이 되니 이는 다섯째 날이니라
창세기,1,24,창세기 1:24,하나님이 가라사대 땅은 생물을 그 종류대로 내되 육축과 기는 것과 땅의 짐승을 종류대로 내라 하시고
창세기,1,26,창세기 1:26,"하나님이 가라사대 우리의 형상을 따라 우리의 모양대로 우리가 사람을 만들고 그로 바다의 고기와, 공중의 새와, 육축과, 온 땅과, 땅에 기는 모든 것을 다스리게 하자 하시고"
창세기,1,27,창세기 1:27,하나님이 자기 형상 곧 하나님의 형상대로 사람을 창조하시되 남자와 여자를 창조하시고
창세기,1,28,창세기 1:28,"하나님이 그들에게 복을 주시며 그들에게 이르시되 생육하고 번성하여 땅에 충만하라, 땅을 정복하라, 바다의 고기와 공중의 새와 땅에 움직이는 모든 생물을 다스리라 하시니라"
창세기,1,29,창세기 1:29,하나님이 가라사대 내가 온 지면의 씨 맺는 모든 채소와 씨 가진 열매 맺는 모든 나무를 너희에게 주노니 너희 식물이 되리라
창세기,1,30,창세기 1:30,또 땅의 모든 짐승과 공중의 모든 새와 생명이 있어 땅에 기는 모든 것에게는 내가 모든 푸른 풀을 식물로 주노라 하시니 그대로 되니라
창세기,1,31,창세기 1:31,하나님이 그 지으신 모든 것을 보시니 보시기에 심히 좋았더라 저녁이 되며 아침이 되니 이는 여섯째 날이니라
창세기,2,1,창세기 2:1,천지와 만물이 다 이루니라
창세기,2,2,창세기 2:2,하나님의 지으시던 일이 일곱째 날이 이를 때에 마치니 그 지으시던 일이 다하므로 일곱째 날에 안식하시니라
창세기,2,4,창세기 2:4,여호와 하나님이 천지를 창조하신 때에 천지의 창조된 대략이 이러하니라
창세기,2,5,창세기 2:5,여호와 하나님이 땅에 비를 내리지 아니하셨고 경작할 사람도 없었으므로 들에는 초목이 아직 없었고 밭에는 채소가 나지 아니하였으며
창세기,2,6,창세기 2:6,안개만 땅에서 올라와 온 지면을 적셨더라
창세기,2,7,창세기 2:7,여호와 하나님이 흙으로 사람을 지으시고 생기를 그 코에 불어 넣으시니 사람이 생령이 된지라
창세기,2,8,창세기 2:8,여호와 하나님이 동방의 에덴에 동산을 창설하시고 그 지으신 사람을 거기 두시고
창세기,2,10,창세기 2:10,강이 에덴에서 발원하여 동산을 적시고 거기서부터 갈라져 네 근원이 되었으니
창세기,2,15,창세기 2:15,여호와 하나님이 그 사람을 이끌어 에덴 동산에 두사 그것을 다스리며 지키게 하시고
창세기,2,16,창세기 2:16,여호와 하나님이 그 사람에게 명하여 가라사대 동산 각종 나무의 실과는 네가 임의로 먹되
창세기,2,18,창세기 2:18,여호와 하나님이 가라사대 사람의 독처하는 것이 좋지 못하니 내가 그를 위하여 돕는 배필을 지으리라 하시니라
창세기,2,19,창세기 2:19,여호와 하나님이 흙으로 각종 들짐승과 공중의 각종 새를 지으시고 아담이 어떻게 이름을 짓나 보시려고 그것들을 그에게로 이끌어 이르시니 아담이 각 생물을 일컫는 바가 곧 그 이름이라
창세기,2,20,창세기 2:20,아담이 모든 육축과 공중의 새와 들의 모든 짐승에게 이름을 주니라 아담이 돕는 배필이 없으므로
창세기,2,21,창세기 2:21,여호와 하나님이 아담을 깊이 잠들게 하시니 잠들매 그가 그 갈빗대 하나를 취하고 살로 대신 채우시고
창세기,2,22,창세기 2:22,여호와 하나님이 아담에게서 취하신 그 갈빗대로 여자를 만드시고 그를 아담에게로 이끌어 오시니
창세기,2,25,창세기 2:25,아담과 그 아내 두 사람이 벌거벗었으나 부끄러워 아니하니라
창세기,3,3,창세기 3:3,동산 중앙에 있는 나무의 실과는 하나님의 말씀에 너희는 먹지도 말고 만지지도 말라 너희가 죽을까 하노라 하셨느니라'
창세기,3,9,창세기 3:9,여호와 하나님이 아담을 부르시며 그에게 이르시되 네가 어디 있느냐 ?
창세기,3,21,창세기 3:21,여호와 하나님이 아담과 그 아내를 위하여 가죽 옷을 지어 입히시니라
창세기,3,22,창세기 3:22,"여호와 하나님이 가라사대 보라, 이 사람이 선악을 아는 일에 우리 중 하나같이 되었으니 그가 그 손을 들어 생명나무 실과도 먹고 영생할까 하노라 하시고"
창세기,4,3,창세기 4:3,세월이 지난 후에 가인은 땅의 소산으로 제물을 삼아 여호와께 드렸고
