index,grade,reason,reference,text
0,A,,시편 4:8,내가 평안히 눕고 자기도 하리니 나를 안전히 거하게 하시는 이는 오직 여호와시니이다
1,A,,이사야 26:3,주께서 심지가 견고한 자를 평강에 평강으로 지키시리니 이는 그가 주를 의뢰함이니이다
2,A,,잠언 3:5,너는 마음을 다하여 여호와를 의뢰하고 네 명철을 의지하지 말라
3,C,조각,로마서 3:22,곧 예수 그리스도를 믿음으로 말미암아 모든 믿는 자에게 미치는 하나님의 의니 차별이 없느니라
4,C,율법,신명기 28:1,네가 네 하나님 여호와의 말씀을 삼가 듣고 내가 오늘날 네게 명하는 그 모든 명령을 지켜 행하면 네 하나님 여호와께서 너를 세계 모든 민족 위에 뛰어나게 하실 것이라
5,B,,고린도후서 13:13,주 예수 그리스도의 은혜와 하나님의 사랑과 성령의 교통하심이 너희 무리와 함께 있을지어다!
6,C,메타,요한복음 20:31,오직 이것을 기록함은 너희로 예수께서 하나님의 아들 그리스도이심을 믿게 하려 함이요 또 너희로 믿고 그 이름을 힘입어 생명을 얻게 하려 함이니라
7,C,조각,히브리서 13:20,양의 큰 목자이신 우리 주 예수를 영원한 언약의 피로 죽은 자 가운데서 이끌어 내신 평강의 하나님이
8,C,서사,사도행전 2:47,하나님을 찬미하며 또 온 백성에게 칭송을 받으니 주께서 구원 받는 사람을 날마다 더하게 하시니라
9,C,인물,예레미야 15:20,내가 너로 이 백성앞에 견고한 놋 성벽이 되게 하리니 그들이 너를 칠지라도 이기지 못할 것은 내가 저와 함께 하여 너를 구하여 건짐이니라 여호와의 말이니라
10,C,조각,빌립보서 3:20,오직 우리의 시민권은 하늘에 있는지라 거기로서 구원하는 자 곧 주 예수 그리스도를 기다리노니
11,C,서사,역대하 14:6,여호와께서 아사에게 평안을 주셨으므로 그 땅이 평안하여 여러해 싸움이 없은지라 저가 견고한 성읍들을 유다에 건축하니라
12,C,조각,에베소서 1:3,찬송하리로다! 하나님 곧 우리 주 예수 그리스도의 아버지께서 그리스도 안에서 하늘에 속한 모든 신령한 복으로 우리에게 복 주시되
