# 오늘의 말씀 선정 — 일반서신·히브리서·계시록 (교훈·지혜·위안 기준)
ref	type	note
히브리서 4:16	위안	'때를 따라 돕는 은혜를 얻기 위하여'
히브리서 10:35	위안	'너희 담대함을 버리지 말라'
히브리서 10:36	교훈	'너희에게 인내가 필요함은'
히브리서 12:1	교훈	합본 예상(12:1-2)
히브리서 13:2	교훈	'손님 대접하기를 잊지 말라'
히브리서 13:3	교훈	'학대 받는 자를 생각하라'
히브리서 13:5	위안	'있는 바를 족한 줄로 알라'
히브리서 13:16	교훈	'선을 행함과 서로 나눠 주기를 잊지 말라'
야고보서 1:2	위안	'여러 가지 시험을 만나거든 온전히 기쁘게 여기라'
야고보서 1:5	교훈	'지혜가 부족하거든 하나님께 구하라'
야고보서 1:19	교훈	'듣기는 속히 하고 말하기는 더디 하며'
야고보서 1:22	교훈	'도를 행하는 자가 되고 듣기만 하여'
야고보서 1:27	교훈	'고아와 과부를 그 환난 중에 돌아보고'
야고보서 2:17	교훈	'행함이 없는 믿음은 그 자체가 죽은 것이라'
야고보서 3:18	교훈	'화평으로 심어 의의 열매를 거두느니라'
야고보서 4:10	교훈	'주 앞에서 낮추라 그리하면 주께서 너희를 높이시리라'
야고보서 4:14	교훈	'너희는 잠간 보이다가 없어지는 안개니라'
베드로전서 4:8	교훈	'사랑은 허다한 죄를 덮느니라'
베드로후서 3:8	교훈	'하루가 천년 같고 천년이 하루 같은'
요한일서 3:18	교훈	'말과 혀로만 사랑하지 말고 오직 행함과 진실함으로'
요한일서 4:12	교훈	'서로 사랑하면 하나님이 우리 안에 거하시고'
요한일서 4:18	위안	'사랑 안에 두려움이 없고'
요한일서 4:19	위안	'우리가 사랑함은 그가 먼저 우리를 사랑하셨음이라'
요한일서 4:20	교훈	'보는 바 그 형제를 사랑치 아니하는 자가'
요한삼서 1:2	위안	'네 영혼이 잘됨 같이 네가 범사에 잘되고 강건하기를'
요한삼서 1:11	교훈	'악한 것을 본받지 말고 선한 것을 본받으라'
요한계시록 3:8	위안	'적은 능력을 가지고도 내 말을 지키며'
요한계시록 3:20	위안	'내가 문 밖에 서서 두드리노니'
요한계시록 21:4	위안	'모든 눈물을 그 눈에서 씻기시매'
