reference,type,merged,len,text,note
히브리서 4:16,위안,,60,그러므로 우리가 긍휼하심을 받고 때를 따라 돕는 은혜를 얻기 위하여 은혜의 보좌 앞에 담대히 나아갈 것이니라,'때를 따라 돕는 은혜를 얻기 위하여'
히브리서 10:35,위안,,33,그러므로 너희 담대함을 버리지 말라 이것이 큰 상을 얻느니라,'너희 담대함을 버리지 말라'
히브리서 10:36,교훈,,43,너희에게 인내가 필요함은 너희가 하나님의 뜻을 행한 후에 약속을 받기 위함이라,'너희에게 인내가 필요함은'
히브리서 13:2,교훈,,42,손님 대접하기를 잊지 말라 이로써 부지중에 천사들을 대접한 이들이 있었느니라,'손님 대접하기를 잊지 말라'
히브리서 13:3,교훈,,50,자기도 함께 갇힌 것같이 갇힌 자를 생각하고 자기도 몸을 가졌은즉 학대 받는 자를 생각하라,'학대 받는 자를 생각하라'
히브리서 13:5,위안,,73,돈을 사랑치 말고 있는 바를 족한 줄로 알라 그가 친히 말씀하시기를 내가 과연 너희를 버리지 아니하고 과연 너희를 떠나지 아니하리라,'있는 바를 족한 줄로 알라'
히브리서 13:16,교훈,,46,오직 선을 행함과 서로 나눠 주기를 잊지 말라 이같은 제사는 하나님이 기뻐하시느니라,'선을 행함과 서로 나눠 주기를 잊지 말라'
야고보서 1:2,위안,,38,내 형제들아! 너희가 여러 가지 시험을 만나거든 온전히 기쁘게 여기라,'여러 가지 시험을 만나거든 온전히 기쁘게 여기라'
야고보서 1:5,교훈,,64,너희 중에 누구든지 지혜가 부족하거든 모든 사람에게 후히 주시고 꾸짖지 아니하시는 하나님께 구하라 그리하면 주시리라,'지혜가 부족하거든 하나님께 구하라'
야고보서 1:19,교훈,,56,내 사랑하는 형제들아 너희가 알거니와 사람마다 듣기는 속히 하고 말하기는 더디 하며 성내기도 더디하라,'듣기는 속히 하고 말하기는 더디 하며'
야고보서 1:22,교훈,,40,너희는 도를 행하는 자가 되고 듣기만 하여 자신을 속이는 자가 되지 말라,'도를 행하는 자가 되고 듣기만 하여'
야고보서 1:27,교훈,,79,하나님 아버지 앞에서 정결하고 더러움이 없는 경건은 곧 고아와 과부를 그 환난 중에 돌아보고 또 자기를 지켜 세속에 물들지 아니하는 이것이니라,'고아와 과부를 그 환난 중에 돌아보고'
야고보서 2:17,교훈,,29,이와 같이 행함이 없는 믿음은 그 자체가 죽은 것이라,'행함이 없는 믿음은 그 자체가 죽은 것이라'
야고보서 3:18,교훈,,31,화평케 하는 자들은 화평으로 심어 의의 열매를 거두느니라,'화평으로 심어 의의 열매를 거두느니라'
야고보서 4:10,교훈,,28,주 앞에서 낮추라 그리하면 주께서 너희를 높이시리라,'주 앞에서 낮추라 그리하면 주께서 너희를 높이시리라'
야고보서 4:14,교훈,,52,내일 일을 너희가 알지 못하는도다 너희 생명이 무엇이뇨 너희는 잠간 보이다가 없어지는 안개니라,'너희는 잠간 보이다가 없어지는 안개니라'
베드로전서 4:8,교훈,,35,무엇보다도 열심으로 서로 사랑할지니 사랑은 허다한 죄를 덮느니라,'사랑은 허다한 죄를 덮느니라'
베드로후서 3:8,교훈,,47,사랑하는 자들아! 주께는 하루가 천년 같고 천년이 하루 같은 이 한 가지를 잊지 말라,'하루가 천년 같고 천년이 하루 같은'
요한일서 3:18,교훈,,40,자녀들아! 우리가 말과 혀로만 사랑하지 말고 오직 행함과 진실함으로 하자,'말과 혀로만 사랑하지 말고 오직 행함과 진실함으로'
요한일서 4:12,교훈,,74,어느 때나 하나님을 본 사람이 없으되 만일 우리가 서로 사랑하면 하나님이 우리 안에 거하시고 그의 사랑이 우리 안에 온전히 이루느니라,'서로 사랑하면 하나님이 우리 안에 거하시고'
요한일서 4:18,위안,,79,사랑 안에 두려움이 없고 온전한 사랑이 두려움을 내어 쫓나니 두려움에는 형벌이 있음이라 두려워하는 자는 사랑 안에서 온전히 이루지 못하였느니라,'사랑 안에 두려움이 없고'
요한일서 4:19,위안,,26,우리가 사랑함은 그가 먼저 우리를 사랑하셨음이라,'우리가 사랑함은 그가 먼저 우리를 사랑하셨음이라'
요한일서 4:20,교훈,,89,누구든지 하나님을 사랑하노라 하고 그 형제를 미워하면 이는 거짓말하는 자니 보는 바 그 형제를 사랑치 아니하는 자가 보지 못하는 바 하나님을 사랑할 수 없느니라,'보는 바 그 형제를 사랑치 아니하는 자가'
요한삼서 1:2,위안,,45,사랑하는 자여 네 영혼이 잘됨 같이 네가 범사에 잘되고 강건하기를 내가 간구하노라,'네 영혼이 잘됨 같이 네가 범사에 잘되고 강건하기를'
요한삼서 1:11,교훈,,76,사랑하는 자여 악한 것을 본받지 말고 선한 것을 본받으라 선을 행하는 자는 하나님께 속하고 악을 행하는 자는 하나님을 뵈옵지 못하였느니라,'악한 것을 본받지 말고 선한 것을 본받으라'
요한계시록 3:8,위안,,92,볼지어다 내가 네 앞에 열린 문을 두었으되 능히 닫을 사람이 없으리라 내가 네 행위를 아노니 네가 적은 능력을 가지고도 내 말을 지키며 내 이름을 배반치 아니하였도다,'적은 능력을 가지고도 내 말을 지키며'
요한계시록 3:20,위안,,78,볼지어다 내가 문 밖에 서서 두드리노니 누구든지 내 음성을 듣고 문을 열면 내가 그에게로 들어가 그로 더불어 먹고 그는 나로 더불어 먹으리라,'내가 문 밖에 서서 두드리노니'
요한계시록 21:4,위안,,79,모든 눈물을 그 눈에서 씻기시매 다시 사망이 없고 애통하는 것이나 곡하는 것이나 아픈 것이 다시 있지 아니하리니 처음 것들이 다 지나갔음이러라,'모든 눈물을 그 눈에서 씻기시매'
