# 오늘의 말씀 선정 — 복음서 (교훈·지혜·위안 기준)
ref	type	note
마태복음 5:3	위안	팔복
마태복음 5:4	위안	'애통하는 자는 복이 있나니'
마태복음 5:5	교훈	
마태복음 5:6	교훈	
마태복음 5:7	교훈	
마태복음 5:8	교훈	
마태복음 5:9	교훈	
마태복음 5:13	교훈	'너희는 세상의 소금이니'
마태복음 5:16	교훈	
마태복음 5:41	교훈	'억지로 오리를 가게 하거든 십리를 동행하고'
마태복음 5:44	교훈	'너희 원수를 사랑하며'
마태복음 6:6	교훈	
마태복음 6:7	교훈	'중언부언하지 말라'
마태복음 6:15	교훈	
마태복음 6:21	교훈	'네 보물 있는 그 곳에는 네 마음도 있느니라'
마태복음 6:25	위안	'목숨을 위하여 무엇을 먹을까 염려하지 말라'
마태복음 6:26	위안	'공중의 새를 보라'
마태복음 6:28	위안	'들의 백합화가 어떻게 자라는가'
마태복음 6:33	교훈	
마태복음 6:34	위안	필터 탈락(기존 분류 오탐) — 시드로 복구
마태복음 7:1	교훈	'비판을 받지 아니하려거든 비판하지 말라'
마태복음 7:2	교훈	
마태복음 7:3	교훈	'형제의 눈 속에 있는 티는 보고 네 눈 속에 있는 들보는'
마태복음 7:7	교훈	'구하라 그러면 너희에게 주실 것이요'
마태복음 7:11	위안	
마태복음 7:12	교훈	'남에게 대접을 받고자 하는대로'
마태복음 9:13	교훈	
마태복음 9:17	교훈	'새 포도주는 새 부대에'
마태복음 10:16	교훈	'뱀같이 지혜롭고 비둘기같이 순결하라'
마태복음 10:22	교훈	
마태복음 10:39	교훈	
마태복음 11:28	위안	'수고하고 무거운 짐진 자들아'
마태복음 12:12	교훈	
마태복음 12:25	교훈	
마태복음 12:35	교훈	
마태복음 13:44	교훈	
마태복음 14:27	위안	'안심하라 내니 두려워 말라'
마태복음 15:18	교훈	
마태복음 16:26	교훈	'온 천하를 얻고도 제 목숨을 잃으면'
마태복음 18:3	교훈	
마태복음 18:20	위안	'두세 사람이 내 이름으로 모인 곳에는'
마태복음 19:14	교훈	'어린 아이들을 용납하고'
마태복음 19:19	교훈	
마태복음 19:21	교훈	
마태복음 19:26	위안	'사람으로는 할 수 없으되 하나님으로서는 다 할 수 있느니라'
마태복음 19:30	교훈	
마태복음 21:22	교훈	
마태복음 22:37	교훈	합본 예상(22:37-39) 두 큰 계명
마태복음 23:12	교훈	'자기를 높이는 자는 낮아지고'
마태복음 26:41	교훈	'마음에는 원이로되 육신이 약하도다'
마태복음 28:20	위안	'내가 세상 끝날까지 너희와 항상 함께 있으리라'
마가복음 3:35	교훈	
마가복음 5:34	위안	'네 믿음이 너를 구원하였으니 평안히 가라'
마가복음 9:50	교훈	'너희 속에 소금을 두고 서로 화목하라'
누가복음 1:37	위안	'하나님의 모든 말씀은 능치 못하심이 없느니라'
누가복음 1:79	위안	'어두움과 죽음의 그늘에 앉은 자에게 비취고'
누가복음 2:14	위안	성탄 절기 배치 후보
누가복음 6:21	위안	'이제 우는 자는 복이 있나니 너희가 웃을 것임이요'
누가복음 6:36	교훈	'너희 아버지의 자비하심같이 너희도 자비하라'
누가복음 6:37	교훈	'용서하라 그리하면 너희가 용서를 받을 것이요'
누가복음 6:38	교훈	'후히 되어 누르고 흔들어 넘치도록'
누가복음 6:44	교훈	'나무는 각각 그 열매로 아나니'
누가복음 12:15	교훈	'사람의 생명이 그 소유의 넉넉한데 있지 아니하니라'
누가복음 12:32	위안	'적은 무리여 무서워 말라'
누가복음 15:7	위안	'죄인 하나가 회개하면'
누가복음 16:10	교훈	'지극히 작은 것에 충성된 자는'
누가복음 17:3	교훈	
누가복음 21:19	교훈	'너희의 인내로 너희 영혼을 얻으리라'
누가복음 23:43	위안	'오늘 네가 나와 함께 낙원에 있으리라'
요한복음 7:24	교훈	'외모로 판단하지 말고'
요한복음 8:32	교훈	합본 예상(8:31-32) '진리가 너희를 자유케 하리라'
요한복음 9:4	교훈	'밤이 오리니 그 때는 아무도 일할 수 없느니라'
요한복음 12:24	교훈	'한 알의 밀이 땅에 떨어져 죽지 아니하면'
요한복음 13:34	교훈	'서로 사랑하라'
요한복음 13:35	교훈	
요한복음 14:1	위안	'너희는 마음에 근심하지 말라'
요한복음 14:18	위안	'너희를 고아와 같이 버려두지 아니하고'
요한복음 14:27	위안	'세상이 주는 것 같지 아니하니라'
요한복음 15:13	교훈	'친구를 위하여 자기 목숨을 버리면'
요한복음 15:15	위안	'너희를 친구라 하였노니'
요한복음 16:20	위안	'너희 근심이 도리어 기쁨이 되리라'
요한복음 16:21	위안	'아이를 낳으면 그 고통을 다시 기억지 아니하느니라'
요한복음 16:22	위안	'너희 기쁨을 빼앗을 자가 없느니라'
요한복음 10:10	위안	필터 탈락 — '더 풍성히 얻게 하려는 것이라'
요한복음 8:7	교훈	서사 프레임 제거 — '너희 중에 죄 없는 자가 먼저 돌로 치라'
요한복음 8:11	위안	서사 프레임 제거 — '나도 너를 정죄하지 아니하노니'
