reference,type,merged,len,text,note
마태복음 5:3,위안,,29,심령이 가난한 자는 복이 있나니 천국이 저희 것임이요,팔복
마태복음 5:4,위안,,30,애통하는 자는 복이 있나니 저희가 위로를 받을 것임이요,'애통하는 자는 복이 있나니'
마태복음 5:5,교훈,,33,온유한 자는 복이 있나니 저희가 땅을 기업으로 받을 것임이요,
마태복음 5:6,교훈,,33,의에 주리고 목마른 자는 복이 있나니 저희가 배부를 것임이요,
마태복음 5:7,교훈,,37,긍휼히 여기는 자는 복이 있나니 저희가 긍휼히 여김을 받을 것임이요,
마태복음 5:8,교훈,,33,마음이 청결한 자는 복이 있나니 저희가 하나님을 볼 것임이요,
마태복음 5:9,교훈,,43,화평케 하는 자는 복이 있나니 저희가 하나님의 아들이라 일컬음을 받을 것임이요,
마태복음 5:13,교훈,,76,너희는 세상의 소금이니 소금이 만일 그 맛을 잃으면 무엇으로 짜게 하리요 후에는 아무 쓸데 없어 다만 밖에 버리워 사람에게 밟힐 뿐이니라,'너희는 세상의 소금이니'
마태복음 5:16,교훈,,65,이같이 너희 빛을 사람 앞에 비취게 하여 저희로 너희 착한 행실을 보고 하늘에 계신 너희 아버지께 영광을 돌리게 하라,
마태복음 5:23,교훈,,50,그러므로 예물을 제단에 드리다가 거기서 네 형제에게 원망들을 만한 일이 있는 줄 생각나거든,합본 예상(5:23-24) '먼저 가서 형제와 화목하고'
마태복음 5:37,교훈,,48,"오직 너희 말은 옳다 옳다,아니라 아니라 하라 이에서 지나는 것은 악으로 좇아 나느니라","'옳다 옳다, 아니라 아니라 하라'"
마태복음 5:39,교훈,,53,나는 너희에게 이르노니 악한 자를 대적지 말라 누구든지 네 오른편 뺨을 치거든 왼편도 돌려 대며,
마태복음 5:41-42,교훈,합본,75,또 누구든지 너로 억지로 오리를 가게 하거든 그 사람과 십리를 동행하고 네게 구하는 자에게 주며 네게 꾸고자 하는 자에게 거절하지 말라,'억지로 오리를 가게 하거든 십리를 동행하고'
마태복음 5:42,교훈,,35,네게 구하는 자에게 주며 네게 꾸고자 하는 자에게 거절하지 말라,
마태복음 5:44,교훈,,45,나는 너희에게 이르노니 너희 원수를 사랑하며 너희를 핍박하는 자를 위하여 기도하라,'너희 원수를 사랑하며'
마태복음 5:46,교훈,,45,너희가 너희를 사랑하는 자를 사랑하면 무슨 상이 있으리요 세리도 이같이 아니하느냐,
마태복음 6:3,교훈,,31,너는 구제할 때에 오른손의 하는 것을 왼손이 모르게 하여,합본 예상(6:3-4) '오른손의 하는 것을 왼손이 모르게'
마태복음 6:6,교훈,,72,너는 기도할 때에 네 골방에 들어가 문을 닫고 은밀한 중에 계신 네 아버지께 기도하라 은밀한 중에 보시는 네 아버지께서 갚으시리라,
마태복음 6:7,교훈,,53,또 기도할 때에 이방인과 같이 중언부언하지 말라 저희는 말을 많이 하여야 들으실 줄 생각하느니라,'중언부언하지 말라'
마태복음 6:8,위안,,55,그러므로 저희를 본받지 말라 구하기 전에 너희에게 있어야 할 것을 하나님 너희 아버지께서 아시느니라,'구하기 전에 너희에게 있어야 할 것을 아시느니라'
마태복음 6:15,교훈,,50,너희가 사람의 과실을 용서하지 아니하면 너희 아버지께서도 너희 과실을 용서하지 아니하시리라,
마태복음 6:19,교훈,,57,너희를 위하여 보물을 땅에 쌓아 두지 말라 거기는 좀과 동록이 해하며 동록이 구멍을 뚫고 도적질하느니라,합본 예상(6:19-20)
마태복음 6:21,교훈,,25,네 보물 있는 그 곳에는 네 마음도 있느니라!,'네 보물 있는 그 곳에는 네 마음도 있느니라'
마태복음 6:24,교훈,,91,한사람이 두 주인을 섬기지 못 할 것이니 혹 이를 미워하며 저를 사랑하거나 혹 이를 중히 여기며 저를 경히 여김이라 너희가 하나님과 재물을 겸하여 섬기지 못하느니라,'한사람이 두 주인을 섬기지 못 할 것이니'
마태복음 6:25,위안,,102,그러므로 내가 너희에게 이르노니 목숨을 위하여 무엇을 먹을까? 무엇을 마실까? 몸을 위하여 무엇을 입을까? 염려하지 말라 목숨이 음식보다 중하지 아니하며 몸이 의복보다 중하지 아니하냐,'목숨을 위하여 무엇을 먹을까 염려하지 말라'
마태복음 6:26,위안,,75,공중의 새를 보라 심지도 않고 거두지도 않고 창고에 모아 들이지도 아니하되 너희 천부께서 기르시나니 너희는 이것들보다 귀하지 아니하냐?,'공중의 새를 보라'
마태복음 6:27,위안,,34,너희 중에 누가 염려함으로 그 키를 한 자나 더할 수 있느냐?,'누가 염려함으로 그 키를 한 자나 더할 수 있느냐'
마태복음 6:28,위안,,68,또 너희가 어찌 의복을 위하여 염려하느냐 들의 백합화가 어떻게 자라는가 생각하여 보아라 수고도 아니하고 길쌈도 아니하느니라,'들의 백합화가 어떻게 자라는가'
마태복음 6:30,위안,,61,오늘 있다가 내일 아궁이에 던지우는 들풀도 하나님이 이렇게 입히시거든 하물며 너희일까보냐 믿음이 적은 자들아!,
마태복음 6:33,교훈,,48,너희는 먼저 그의 나라와 그의 의를 구하라! 그리하면 이 모든 것을 너희에게 더하시리라,
마태복음 6:34,위안,,58,그러므로 내일 일을 위하여 염려하지 말라 내일 일은 내일 염려할 것이요 한 날 괴로움은 그 날에 족하니라,필터 탈락(기존 분류 오탐) — 시드로 복구
마태복음 7:1,교훈,,21,비판을 받지 아니하려거든 비판하지 말라,'비판을 받지 아니하려거든 비판하지 말라'
마태복음 7:2,교훈,,64,너희의 비판하는 그 비판으로 너희가 비판을 받을 것이요 너희의 헤아리는 그 헤아림으로 너희가 헤아림을 받을 것이니라,
마태복음 7:3,교훈,,46,어찌하여 형제의 눈 속에 있는 티는 보고 네 눈 속에 있는 들보는 깨닫지 못하느냐?,'형제의 눈 속에 있는 티는 보고 네 눈 속에 있는 들보는'
마태복음 7:5,교훈,,56,외식하는 자여! 먼저 네 눈 속에서 들보를 빼어라 그 후에야 밝히 보고 형제의 눈 속에서 티를 빼리라,
마태복음 7:7-8,교훈,합본,106,구하라! 그러면 너희에게 주실 것이요 찾으라! 그러면 찾을 것이요 문을 두드리라! 그러면 너희에게 열릴 것이니 구하는 이마다 얻을 것이요 찾는 이가 찾을 것이요 두드리는 이에게 열릴 것이니라,'구하라 그러면 너희에게 주실 것이요'
마태복음 7:11,위안,,75,너희가 악한 자라도 좋은 것으로 자식에게 줄 줄 알거든 하물며 하늘에 계신 너희 아버지께서 구하는 자에게 좋은 것으로 주시지 않겠느냐?,
마태복음 7:12,교훈,,54,그러므로 무엇이든지 남에게 대접을 받고자 하는대로 너희도 남을 대접하라 이것이 율법이요 선지자니라,'남에게 대접을 받고자 하는대로'
마태복음 7:24,교훈,,53,그러므로 누구든지 나의 이 말을 듣고 행하는 자는 그 집을 반석위에 지은 지혜로운 사람 같으리니,합본 예상(7:24-25) '반석위에 지은 지혜로운 사람'
마태복음 9:12b,위안,·하반절,35,건강한 자에게는 의원이 쓸데 없고 병든 자에게라야 쓸데 있느니라,'병든 자에게라야 쓸데 있느니라'
마태복음 9:13,교훈,,77,너희는 가서 내가 긍휼을 원하고 제사를 원치 아니하노라 하신 뜻이 무엇인지 배우라 내가 의인을 부르러 온 것이 아니요 죄인을 부르러 왔노라,
마태복음 9:17,교훈,,90,새 포도주를 낡은 가죽 부대에 넣지 아니하나니 그렇게 하면 부대가 터져 포도주도 쏟아지고 부대도 버리게 됨이라 새 포도주는 새 부대에 넣어야 둘이 다 보전되느니라,'새 포도주는 새 부대에'
마태복음 10:16,교훈,,60,보라 내가 너희를 보냄이 양을 이리 가운데 보냄과 같도다 그러므로 너희는 뱀같이 지혜롭고 비둘기같이 순결하라,'뱀같이 지혜롭고 비둘기같이 순결하라'
마태복음 10:22,교훈,,55,또 너희가 내 이름을 인하여 모든 사람에게 미움을 받을 것이나 나중까지 견디는 자는 구원을 얻으리라,
마태복음 10:29,위안,,71,참새 두 마리가 한 앗사리온에 팔리는 것이 아니냐 그러나 너희 아버지께서 허락지 아니하시면 그 하나라도 땅에 떨어지지 아니하리라,합본 예상(10:29-31) '너희는 많은 참새보다 귀하니라'
마태복음 10:39,교훈,,44,자기 목숨을 얻는 자는 잃을 것이요 나를 위하여 자기 목숨을 잃는 자는 얻으리라,
마태복음 10:42,교훈,,83,또 누구든지 제자의 이름으로 이 소자 중 하나에게 냉수 한 그릇이라도 주는 자는 내가 진실로 너희에게 이르노니 그 사람이 결단코 상을 잃지 아니하리라,'냉수 한 그릇이라도 주는 자는'
마태복음 11:28,위안,,39,수고하고 무거운 짐진 자들아! 다 내게로 오라 내가 너희를 쉬게 하리라,'수고하고 무거운 짐진 자들아'
마태복음 11:29,위안,,52,나는 마음이 온유하고 겸손하니 나의 멍에를 메고 내게 배우라 그러면 너희 마음이 쉼을 얻으리니,
마태복음 12:12,교훈,,42,사람이 양보다 얼마나 더 귀하냐 그러므로 안식일에 선을 행하는 것이 옳으니라,
마태복음 12:25b,교훈,·하반절,48,스스로 분쟁하는 나라마다 황폐하여질 것이요 스스로 분쟁하는 동네나 집마다 서지 못하리라,
마태복음 12:34,교훈,,59,독사의 자식들아! 너희는 악하니 어떻게 선한 말을 할 수 있느냐? 이는 마음에 가득한 것을 입으로 말함이라,'마음에 가득한 것을 입으로 말함이라'
마태복음 12:35,교훈,,51,선한 사람은 그 쌓은 선에서 선한 것을 내고 악한 사람은 그 쌓은 악에서 악한 것을 내느니라,
마태복음 13:22,교훈,,56,가시떨기에 뿌리웠다는 것은 말씀을 들으나 세상의 염려와 재리의 유혹에 말씀이 막혀 결실치 못하는 자요,'세상의 염려와 재리의 유혹에 말씀이 막혀'
마태복음 13:44,교훈,,72,천국은 마치 밭에 감추인 보화와 같으니 사람이 이를 발견한 후 숨겨두고 기뻐하여 돌아가서 자기의 소유를 다 팔아 그 밭을 샀느니라,
마태복음 13:57b,교훈,·하반절,37,선지자가 자기 고향과 자기 집 외에서는 존경을 받지 않음이 없느니라,
마태복음 14:27b,위안,·하반절,15,안심하라 내니 두려워 말라!,'안심하라 내니 두려워 말라'
마태복음 15:11,교훈,,56,입에 들어가는 것이 사람을 더럽게 하는 것이 아니라 입에서 나오는 그것이 사람을 더럽게 하는 것이니라,'입에서 나오는 그것이 사람을 더럽게'
마태복음 15:18,교훈,,41,입에서 나오는 것들은 마음에서 나오나니 이것이야말로 사람을 더럽게 하느니라,
마태복음 16:26,교훈,,59,사람이 만일 온 천하를 얻고도 제 목숨을 잃으면 무엇이 유익하리요 사람이 무엇을 주고 제 목숨을 바꾸겠느냐,'온 천하를 얻고도 제 목숨을 잃으면'
마태복음 17:20b,교훈,·하반절,101,너희 믿음이 적은 연고니라 진실로 너희에게 이르노니 너희가 만일 믿음이 한 겨자씨만큼만 있으면 이 산을 명하여 여기서 저기로 옮기라 하여도 옮길 것이요 또 너희가 못할 것이 없으리라,'믿음이 한 겨자씨만큼만 있으면'
마태복음 18:3b,교훈,·하반절,58,진실로 너희에게 이르노니 너희가 돌이켜 어린 아이들과 같이 되지 아니하면 결단코 천국에 들어가지 못하리라,
마태복음 18:4,교훈,,44,그러므로 누구든지 이 어린 아이와 같이 자기를 낮추는 그이가 천국에서 큰 자니라,
마태복음 18:10,교훈,,74,삼가 이 소자 중에 하나도 업신 여기지 말라 너희에게 말하노니 저희 천사들이 하늘에서 하늘에 계신 내 아버지의 얼굴을 항상 뵈옵느니라,'이 소자 중에 하나도 업신 여기지 말라'
마태복음 18:12,위안,,89,너희 생각에는 어떻겠느뇨 만일 어떤 사람이 양 일백 마리가 있는데 그 중에 하나가 길을 잃었으면 그 아흔아홉 마리를 산에 두고 가서 길 잃은 양을 찾지 않겠느냐,합본 예상(18:12-13) '길 잃은 양을 찾지 않겠느냐'
마태복음 18:14,위안,,49,이와 같이 이 소자 중에 하나라도 잃어지는 것은 하늘에 계신 너희 아버지의 뜻이 아니니라,'하나라도 잃어지는 것은 너희 아버지의 뜻이 아니니라'
마태복음 18:15-16,교훈,합본,105,네 형제가 죄를 범하거든 가서 너와 그 사람과만 상대하여 권고하라 만일 들으면 네가 네 형제를 얻은 것이요 만일 듣지 않거든 한두 사람을 데리고 가서 두세 증인의 입으로 말마다 증참케 하라,
마태복음 18:20,위안,,34,두세 사람이 내 이름으로 모인 곳에는 나도 그들 중에 있느니라,'두세 사람이 내 이름으로 모인 곳에는'
마태복음 18:22b,교훈,·하반절,36,네게 이르노니 일곱 번뿐 아니라 일흔 번씩 일곱 번이라도 할지니라,'일흔 번씩 일곱 번이라도'
마태복음 18:33-34,교훈,합본,78,내가 너를 불쌍히 여김과 같이 너도 네 동관을 불쌍히 여김이 마땅치 아니하냐 하고 주인이 노하여 그 빚을 다 갚도록 저를 옥졸들에게 붙이니라,
마태복음 19:6,교훈,,55,이러한즉 이제 둘이 아니요 한 몸이니 그러므로 하나님이 짝지어 주신 것을 사람이 나누지 못할지니라!,
마태복음 19:14b,교훈,·하반절,43,어린 아이들을 용납하고 내게 오는 것을 금하지 말라 천국이 이런 자의 것이니라,'어린 아이들을 용납하고'
마태복음 19:19,교훈,,38,"네 부모를 공경하라, 네 이웃을 네 몸과 같이 사랑하라 하신 것이니라",
마태복음 19:21b,교훈,·하반절,71,네가 온전하고자 할진대 가서 네 소유를 팔아 가난한 자들을 주라 그리하면 하늘에서 보화가 네게 있으리라 그리고 와서 나를 좇으라,
마태복음 19:24,교훈,,56,다시 너희에게 말하노니 약대가 바늘귀로 들어가는 것이 부자가 하나님의 나라에 들어가는 것보다 쉬우니라,'약대가 바늘귀로 들어가는 것이'
마태복음 19:26b,위안,·하반절,32,사람으로는 할 수 없으되 하나님으로서는 다 할 수 있느니라,'사람으로는 할 수 없으되 하나님으로서는 다 할 수 있느니라'
마태복음 19:30,교훈,,40,그러나 먼저 된 자로서 나중 되고 나중 된 자로서 먼저 될 자가 많으니라,
마태복음 20:26,교훈,,50,너희 중에는 그렇지 아니하니 너희 중에 누구든지 크고자 하는 자는 너희를 섬기는 자가 되고,합본 예상(20:26-27) '크고자 하는 자는 너희를 섬기는 자가 되고'
마태복음 20:28,교훈,,61,인자가 온 것은 섬김을 받으려 함이 아니라 도리어 섬기려 하고 자기 목숨을 많은 사람의 대속물로 주려 함이니라,
마태복음 21:22,교훈,,34,너희가 기도할 때에 무엇이든지 믿고 구하는 것은 다 받으리라!,
마태복음 22:37b,교훈,·하반절,39,네 마음을 다하고 목숨을 다하고 뜻을 다하여 주 너의 하나님을 사랑하라,합본 예상(22:37-39) 두 큰 계명
마태복음 23:8,교훈,,44,그러나 너희는 랍비라 칭함을 받지 말라 너희 선생은 하나이요 너희는 다 형제니라,
마태복음 23:12,교훈,,42,누구든지 자기를 높이는 자는 낮아지고 누구든지 자기를 낮추는 자는 높아지리라,'자기를 높이는 자는 낮아지고'
마태복음 23:28,교훈,,44,이와같이 너희도 겉으로는 사람에게 옳게 보이되 안으로는 외식과 불법이 가득하도다,
마태복음 24:12,교훈,,25,불법이 성하므로 많은 사람의 사랑이 식어지리라,'많은 사람의 사랑이 식어지리라'
마태복음 25:35,교훈,,54,내가 주릴 때에 너희가 먹을 것을 주었고 목마를 때에 마시게 하였고 나그네 되었을 때에 영접하였고,합본 예상(25:35-36) '주릴 때에 먹을 것을 주었고'
마태복음 26:41,교훈,,40,시험에 들지 않게 깨어 있어 기도하라! 마음에는 원이로되 육신이 약하도다,'마음에는 원이로되 육신이 약하도다'
마태복음 28:20,위안,,61,내가 너희에게 분부한 모든 것을 가르쳐 지키게 하라 볼지어다! 내가 세상 끝날까지 너희와 항상 함께 있으리라!,'내가 세상 끝날까지 너희와 항상 함께 있으리라'
마가복음 2:27b,교훈,·하반절,42,안식일은 사람을 위하여 있는 것이요 사람이 안식일을 위하여 있는 것이 아니니,'안식일은 사람을 위하여 있는 것이요'
마가복음 3:35,교훈,,35,누구든지 하나님의 뜻대로 하는 자는 내 형제요 자매요 모친이니라,
마가복음 4:22,교훈,,44,드러내려 하지 않고는 숨긴 것이 없고 나타내려 하지 않고는 감추인 것이 없느니라,
마가복음 4:24b,교훈,·하반절,60,너희가 무엇을 듣는가 스스로 삼가라 너희의 헤아리는 그 헤아림으로 너희가 헤아림을 받을것이요 또 더 받으리니,
마가복음 5:34b,위안,·하반절,43,딸아 네 믿음이 너를 구원하였으니 평안히 가라! 네 병에서 놓여 건강할지어다!,'네 믿음이 너를 구원하였으니 평안히 가라'
마가복음 6:31b,위안,·하반절,58,너희는 따로 한적한 곳에 와서 잠간 쉬어라 하시니 이는 오고 가는 사람이 많아 음식 먹을 겨를도 없음이라,'따로 한적한 곳에 와서 잠간 쉬어라'
마가복음 8:34b,교훈,·하반절,46,아무든지 나를 따라 오려거든 자기를 부인하고 자기 십자가를 지고 나를 좇을 것이니라,
마가복음 9:50,교훈,,63,소금은 좋은 것이로되 만일 소금이 그 맛을 잃으면 무엇으로 이를 짜게 하리요 너희 속에 소금을 두고 서로 화목하라,'너희 속에 소금을 두고 서로 화목하라'
마가복음 11:25,교훈,,70,서서 기도할 때에 아무에게나 혐의가 있거든 용서하라 그리하여야 하늘에 계신 너희 아버지도 너희 허물을 사하여 주시리라 하셨더라,'혐의가 있거든 용서하라'
마가복음 12:43b,교훈,·하반절,51,내가 진실로 너희에게 이르노니 이 가난한 과부는 연보 궤에 넣는 모든 사람보다 많이 넣었도다,합본 예상(12:43-44) 가난한 과부의 두 렙돈
누가복음 1:37,위안,,28,대저 하나님의 모든 말씀은 능치 못하심이 없느니라!,'하나님의 모든 말씀은 능치 못하심이 없느니라'
누가복음 1:52,위안,,32,권세있는 자를 그 위에서 내리치셨으며 비천한 자를 높이셨고,합본 예상(1:52-53) '비천한 자를 높이셨고'
누가복음 1:79,위안,,44,어두움과 죽음의 그늘에 앉은 자에게 비취고 우리 발을 평강의 길로 인도하시리로다,'어두움과 죽음의 그늘에 앉은 자에게 비취고'
누가복음 2:14,위안,,47,지극히 높은 곳에서는 하나님께 영광이요 땅에서는 기뻐하심을 입은 사람들 중에 평화로다,성탄 절기 배치 후보
누가복음 4:18-19,위안,합본,126,주의 성령이 내게 임하셨으니 이는 가난한 자에게 복음을 전하게 하시려고 내게 기름을 부으시고 나를 보내사 포로된 자에게 자유를 눈먼 자에게 다시보게 함을 전파하며 눌린 자를 자유케 하고 주의 은혜의 해를 전파하게 하려 하심이라,'눌린 자를 자유케 하고'
누가복음 6:21,위안,,60,이제 주린 자는 복이 있나니 너희가 배부름을 얻을 것임이요 이제 우는 자는 복이 있나니 너희가 웃을 것임이요,'이제 우는 자는 복이 있나니 너희가 웃을 것임이요'
누가복음 6:36,교훈,,23,너희 아버지의 자비하심같이 너희도 자비하라,'너희 아버지의 자비하심같이 너희도 자비하라'
