# 오늘의 말씀 선정 — 이사야·소선지서 (교훈·지혜·위안 기준)
ref	type	note
이사야 1:17	교훈	'학대 받는 자를 도와주며'
이사야 1:18	위안	'너희 죄가 주홍 같을 지라도'
이사야 2:22	교훈	
이사야 9:2	위안	'흑암에 행하던 백성이 큰 빛을 보고'
이사야 25:4	위안	
이사야 25:8	위안	'모든 얼굴에서 눈물을 씻기시며'
이사야 26:3	위안	
이사야 26:20	위안	'분노가 지나기까지 잠간 숨을지어다'
이사야 29:24	위안	
이사야 30:15	교훈	'잠잠하고 신뢰하여야 힘을 얻을 것이어늘'
이사야 30:18	위안	
이사야 30:19	위안	'너는 다시 통곡하지 않을 것이라'
이사야 30:26	위안	
이사야 32:2	위안	'광풍을 피하는 곳, 마른 땅에 냇물 같을 것이며'
이사야 32:17	교훈	
이사야 33:6	위안	
이사야 35:3	위안	합본 예상(35:3-4)
이사야 35:10	위안	'슬픔과 탄식이 달아나리로다'
이사야 38:17	위안	'큰 고통을 더하신 것은 내게 평안을 주려 하심이라'
이사야 40:1	위안	
이사야 40:8	교훈	
이사야 40:11	위안	
이사야 40:29	위안	'피곤한 자에게는 능력을 주시며'
이사야 40:31	위안	
이사야 41:10	위안	'두려워 말라 내가 너와 함께 함이니라'
이사야 41:17	위안	
이사야 43:2	위안	'네가 물 가운데로 지날 때에'
이사야 43:4	위안	'내가 너를 보배롭고 존귀하게 여기고'
이사야 42:3	위안	필터 탈락 — '상한 갈대를 꺾지 아니하며 꺼져가는 등불을 끄지 아니하고'
이사야 43:18	위안	합본 예상(43:18-19) '이전 일을 기억하지 말며'
이사야 43:25	위안	
이사야 44:22	위안	'네 죄를 안개의 사라짐같이 도말하였으니'
이사야 46:4	위안	'백발이 되기까지 내가 너희를 품을 것이라'
이사야 49:15	위안	'여인이 어찌 그 젖먹는 자식을 잊겠으며'
이사야 50:4	교훈	'곤핍한 자를 말로 어떻게 도와줄 줄을 알게 하시고'
이사야 50:10	위안	'흑암 중에 행하여 빛이 없는 자라도'
이사야 51:12	위안	
이사야 53:3	위안	'간고를 많이 겪었으며 질고를 아는 자라'
이사야 53:4	위안	
이사야 53:6	교훈	
이사야 54:4	위안	
이사야 54:7	위안	
이사야 54:10	위안	'나의 인자는 네게서 떠나지 아니하며'
이사야 54:11	위안	'너 곤고하며 광풍에 요동하여 안위를 받지 못한 자여'
이사야 55:1	위안	'돈 없는 자도 오라'
이사야 55:2	교훈	'배부르게 못할 것을 위하여 수고하느냐'
이사야 55:7	위안	
이사야 55:8	교훈	합본 예상(55:8-9)
이사야 57:2	위안	
이사야 57:15	위안	'통회하고 마음이 겸손한 자의 영을 소성케'
이사야 57:18	위안	
이사야 57:19	위안	
이사야 58:6	교훈	합본 예상(58:6-7)
이사야 58:9	위안	
이사야 58:11	위안	'너는 물댄 동산 같겠고'
이사야 60:1	위안	
이사야 60:22	위안	'그 작은 자가 천을 이루겠고'
이사야 61:3	위안	'희락의 기름으로 그 슬픔을 대신하며'
이사야 61:7	위안	
이사야 65:17	위안	
이사야 65:23	위안	
이사야 66:13	위안	'어미가 자식을 위로함 같이'
예레미야애가 3:21	위안	합본 예상(3:21-23) '중심에 회상한즉 오히려 소망이 있사옴은'
예레미야애가 3:25	위안	
예레미야애가 3:26	교훈	
예레미야애가 3:27	교훈	
예레미야애가 3:33	위안	'고생하며 근심하게 하심이 본심이 아니시로다'
예레미야애가 3:40	교훈	
예레미야애가 3:57	위안	
호세아 6:1	위안	'우리를 치셨으나 싸매어 주실 것임이라'
호세아 6:3	위안	
호세아 10:12	교훈	'너희 묵은 땅을 기경하라'
호세아 11:4	위안	
호세아 14:4	위안	
요엘 2:13	교훈	'옷을 찢지 말고 마음을 찢고'
요엘 2:25	위안	'메뚜기가 먹은 햇수대로 너희에게 갚아주리니'
아모스 3:3	교훈	
아모스 5:13	교훈	
아모스 5:14	교훈	
아모스 5:24	교훈	'공법을 물 같이 정의를 하수 같이'
아모스 8:11	교훈	
오바댜 1:12	교훈	
미가 6:8	교훈	'공의를 행하며 인자를 사랑하며 겸손히'
미가 7:8	위안	'나는 엎드러질지라도 일어날 것이요'
미가 7:19	위안	'우리의 모든 죄를 깊은 바다에 던지시리이다'
하박국 2:3	위안	'비록 더딜지라도 기다리라'
하박국 3:17	위안	합본 예상(3:17-18) '비록 무화과나무가 무성치 못하며'
스바냐 3:17	위안	'너를 잠잠히 사랑하시며'
스가랴 4:10	교훈	'작은 일의 날이라고 멸시하는 자가 누구냐'
스가랴 7:9	교훈	합본 예상(7:9-10)
스가랴 8:16	교훈	
스가랴 9:12	위안	
