reference,type,merged,len,text,note
이사야 1:17,교훈,,55,선행을 배우며 공의를 구하며 학대 받는 자를 도와주며 고아를 위하여 신원하며 과부를 위하여 변호하라,'학대 받는 자를 도와주며'
이사야 1:18b,위안,·하반절,67,"오라, 우리가 서로 변론하자 너희 죄가 주홍 같을 지라도 눈과 같이 희어질 것이요 진홍 같이 붉을지라도 양털 같이 되리라",'너희 죄가 주홍 같을 지라도'
이사야 2:22,교훈,,45,너희는 인생을 의지하지 말라 그의 호흡은 코에 있나니 수에 칠 가치가 어디 있느뇨,
이사야 9:2,위안,,46,흑암에 행하던 백성이 큰 빛을 보고 사망의 그늘진 땅에 거하던 자에게 빛이 비취도다,'흑암에 행하던 백성이 큰 빛을 보고'
이사야 25:8,위안,,81,사망을 영원히 멸하실 것이라 주 여호와께서 모든 얼굴에서 눈물을 씻기시며 그 백성의 수치를 온 천하에서 제하시리라 여호와께서 이같이 말씀하셨느니라,'모든 얼굴에서 눈물을 씻기시며'
이사야 26:3,위안,,46,주께서 심지가 견고한 자를 평강에 평강으로 지키시리니 이는 그가 주를 의뢰함이니이다,
이사야 26:20,위안,,48,내 백성아 갈지어다 네 밀실에 들어가서 네 문을 닫고 분노가 지나기까지 잠간 숨을지어다,'분노가 지나기까지 잠간 숨을지어다'
이사야 29:24,위안,,36,마음이 혼미하던 자도 총명하게 되며 원망하던 자도 교훈을 받으리라,
이사야 30:18,위안,,105,그러나 여호와께서 기다리시나니 이는 너희에게 은혜를 베풀려 하심이요 일어나시리니 이는 저희를 긍휼히 여기려 하심이라 대저 여호와는 공의의 하나님이심이라 무릇 그를 기다리는 자는 복이 있도다,
이사야 30:19,위안,,87,시온에 거하며 예루살렘에 거하는 백성아 너는 다시 통곡하지 않을 것이라 그가 너의 부르짖는 소리를 인하여 네게 은혜를 베푸시되 들으실 때에 네게 응답하시리라,'너는 다시 통곡하지 않을 것이라'
이사야 30:26,위안,,77,여호와께서 그 백성의 상처를 싸매시며 그들의 맞은 자리를 고치시는 날에는 달빛은 햇빛 같겠고 햇빛은 칠 배가 되어 일곱 날의 빛과 같으리라,
