# 오늘의 말씀 선정 — 모세오경 (창세기~신명기)
# 읽기 완료: 창세기 출애굽기 레위기 민수기 신명기
# 출애굽기 389절 → 2개. 레위기 219절 → 0개(전부 제의 규정).
# 민수기 265절 → 1개(아론의 축복). 나머지는 인구조사·행진·제의 규정.
# 신명기는 언약 법조문과 땅 조건부 약속이 대부분이라 392절 → 5개.
# 유명한 절(6:5 쉐마, 부모 공경)은 이미 복음서 쪽에 들어가 있어 중복으로 뺐다.
ref	type	note
창세기 8:22	위안	심음과 거둠과 추위와 더위와… 쉬지 아니하리라
창세기 28:15	위안	네가 어디로 가든지 너를 지키며
창세기 49:18	위안	나는 주의 구원을 기다리나이다
민수기 6:24	위안	아론의 축복 — 합본 예상(6:24-26)
신명기 15:11	교훈	땅에는 언제든지 가난한 자가 그치지 아니하겠는고로
신명기 16:19	교훈	뇌물은 지혜자의 눈을 어둡게 하고
신명기 29:29	교훈	오묘한 일은 우리 하나님 여호와께 속하였거니와
신명기 30:14	교훈	그 말씀이 네게 심히 가까와서
신명기 31:8	위안	너를 떠나지 아니하시며 버리지 아니하시리니
출애굽기 14:14	위안	여호와께서 너희를 위하여 싸우시리니
출애굽기 33:14	위안	내가 친히 가리라 내가 너로 편케 하리라
