# 오늘의 말씀 선정 — 바울서신 (교훈·지혜·위안 기준)
ref	type	note
로마서 5:3	위안	합본 예상(5:3-4) '환난은 인내를, 인내는 연단을'
로마서 7:19	위안	'원하는 바 선은 하지 아니하고 원치 아니하는 바 악은 행하는도다'
로마서 8:6	교훈	
로마서 8:18	위안	'현재의 고난은 장차 나타날 영광과 족히 비교할 수 없도다'
로마서 8:25	위안	'보지 못하는 것을 바라면 참음으로 기다릴지니라'
로마서 8:26	위안	'우리가 마땅히 빌 바를 알지 못하나'
로마서 8:28	위안	'모든 것이 합력하여 선을 이루느니라'
로마서 12:1	교훈	
로마서 12:2	교훈	'이 세대를 본받지 말고'
로마서 12:9	교훈	'사랑엔 거짓이 없나니'
로마서 12:14	교훈	'핍박하는 자를 축복하라'
로마서 12:15	교훈	'즐거워하는 자들로 함께 즐거워하고 우는 자들로 함께 울라'
로마서 12:16	교훈	'높은 데 마음을 두지 말고'
로마서 12:17	교훈	'악으로 악을 갚지말고'
로마서 12:18	교훈	'할 수 있거든 모든 사람으로 더불어 평화하라'
로마서 12:21	교훈	'악에게 지지 말고 선으로 악을 이기라'
로마서 13:8	교훈	'사랑의 빚 외에는 아무 빚도 지지 말라'
로마서 13:10	교훈	'사랑은 율법의 완성이니라'
로마서 14:1	교훈	'그의 의심하는 바를 비판하지 말라'
로마서 14:10	교훈	
로마서 15:1	교훈	'연약한 자의 약점을 담당하고'
로마서 15:2	교훈	
로마서 15:13	위안	'소망이 넘치게 하시기를'
고린도전서 3:18	교훈	'미련한 자가 되어라 그리하여야 지혜로운 자가 되리라'
고린도전서 4:5	교훈	'아무 것도 판단치 말라'
고린도전서 6:19	교훈	합본 예상(6:19-20)
고린도전서 9:25	교훈	'이기기를 다투는 자마다 모든 일에 절제하나니'
고린도전서 10:13	위안	'피할 길을 내사 너희로 능히 감당하게 하시느니라'
고린도전서 10:24	교훈	'자기의 유익을 구치 말고 남의 유익을 구하라'
고린도전서 13:3	교훈	
고린도전서 13:4-7	교훈	사랑장 합본 — 개별 절은 모두 나열 도중이라 끊김
고린도전서 13:11	교훈	'어린 아이의 일을 버렸노라'
고린도전서 13:12	위안	'거울로 보는 것같이 희미하나'
고린도전서 13:13	교훈	필터 탈락('그런즉' 시작) — 시드로 복구
고린도전서 14:20	교훈	'지혜에는 아이가 되지 말고'
고린도전서 15:58	위안	'너희 수고가 주 안에서 헛되지 않은 줄을 앎이니라'
고린도후서 1:4	위안	'하나님께 받는 위로로써 환난 중에 있는 자들을 위로하게'
고린도후서 1:5	위안	
고린도후서 4:18	교훈	'보이는 것은 잠간이요 보이지 않는 것은 영원함이니라'
고린도후서 6:2	교훈	
고린도후서 6:10	위안	'아무 것도 없는 자 같으나 모든 것을 가진 자로다'
고린도후서 8:12	위안	'할 마음만 있으면 있는 대로 받으실 터이요'
고린도후서 9:7	교훈	'하나님은 즐겨 내는 자를 사랑하시느니라'
고린도후서 10:18	교훈	
고린도후서 12:10	위안	'내가 약할 그 때에 곧 강함이니라'
갈라디아서 3:28	교훈	'종이나 자주자나 남자나 여자 없이 다 하나이니라'
갈라디아서 5:1	교훈	'다시는 종의 멍에를 메지 말라'
갈라디아서 5:15	교훈	'서로 물고 먹으면 피차 멸망할까 조심하라'
갈라디아서 6:2	교훈	'너희가 짐을 서로 지라'
갈라디아서 6:3	교훈	
갈라디아서 6:7	교훈	'무엇으로 심든지 그대로 거두리라'
갈라디아서 6:9	위안	'선을 행하되 낙심하지 말지니'
갈라디아서 6:10	교훈	
에베소서 2:10	위안	'우리는 그의 만드신 바라'
에베소서 4:29	교훈	'더러운 말은 너희 입 밖에도 내지 말고'
에베소서 4:32	교훈	'서로 인자하게 하며 불쌍히 여기며'
에베소서 5:8	교훈	'빛의 자녀들처럼 행하라'
에베소서 5:16	교훈	'세월을 아끼라 때가 악하니라'
에베소서 5:21	교훈	
에베소서 6:18	교훈	
빌립보서 1:6	위안	'착한 일을 시작하신 이가 그날까지 이루실 줄을'
빌립보서 2:14	교훈	'모든 일을 원망과 시비가 없이 하라'
빌립보서 4:4	위안	
빌립보서 4:5	교훈	'너희 관용을 모든 사람에게 알게 하라'
빌립보서 4:6	위안	'아무 것도 염려하지 말고'
빌립보서 4:11	교훈	합본 예상(4:11-12) '어떠한 형편에든지 자족하기를 배웠노니'
빌립보서 4:13	위안	
빌립보서 4:19	위안	'너희 모든 쓸 것을 채우시리라'
골로새서 3:17	교훈	
골로새서 3:23	교훈	'무슨 일을 하든지 마음을 다하여 주께 하듯 하고'
골로새서 4:2	교훈	
골로새서 4:5	교훈	'외인을 향하여서는 지혜로 행하여 세월을 아끼라'
데살로니가전서 5:11	교훈	
데살로니가전서 5:21	교훈	합본 예상(5:21-22)
디모데후서 2:23	교훈	'어리석고 무식한 변론을 버리라'
