reference,type,merged,len,text,note
로마서 5:3-4,위안,합본,64,다만 이뿐 아니라 우리가 환난중에도 즐거워하나니 이는 환난은 인내를 인내는 연단을 연단은 소망을 이루는 줄 앎이로다,"합본 예상(5:3-4) '환난은 인내를, 인내는 연단을'"
로마서 7:19,위안,,42,내가 원하는 바 선은 하지 아니하고 도리어 원치 아니하는 바 악은 행하는도다,'원하는 바 선은 하지 아니하고 원치 아니하는 바 악은 행하는도다'
로마서 8:6,교훈,,29,육신의 생각은 사망이요 영의 생각은 생명과 평안이니라,
로마서 8:18,위안,,41,생각건대 현재의 고난은 장차 우리에게 나타날 영광과 족히 비교할 수 없도다,'현재의 고난은 장차 나타날 영광과 족히 비교할 수 없도다'
로마서 8:25,위안,,32,만일 우리가 보지 못하는 것을 바라면 참음으로 기다릴지니라,'보지 못하는 것을 바라면 참음으로 기다릴지니라'
로마서 8:26,위안,,82,이와 같이 성령도 우리 연약함을 도우시나니 우리가 마땅히 빌 바를 알지 못하나 오직 성령이 말할 수 없는 탄식으로 우리를 위하여 친히 간구하시느니라,'우리가 마땅히 빌 바를 알지 못하나'
로마서 8:28,위안,,62,우리가 알거니와 하나님을 사랑하는 자 곧 그 뜻대로 부르심을 입은 자들에게는 모든 것이 합력하여 선을 이루느니라,'모든 것이 합력하여 선을 이루느니라'
로마서 12:1,교훈,,85,그러므로 형제들아 내가 하나님의 모든 자비하심으로 너희를 권하노니 너희 몸을 하나님이 기뻐하시는 거룩한 산 제사로 드리라 이는 너희의 드릴 영적 예배니라,
로마서 12:2,교훈,,76,너희는 이 세대를 본받지 말고 오직 마음을 새롭게 함으로 변화를 받아 하나님의 선하시고 기뻐하시고 온전하신 뜻이 무엇인지 분별하도록 하라,'이 세대를 본받지 말고'
로마서 12:9,교훈,,26,사랑엔 거짓이 없나니 악을 미워하고 선에 속하라,'사랑엔 거짓이 없나니'
로마서 12:14,교훈,,29,너희를 핍박하는 자를 축복하라 축복하고 저주하지 말라,'핍박하는 자를 축복하라'
로마서 12:15,교훈,,31,즐거워하는 자들로 함께 즐거워하고 우는 자들로 함께 울라,'즐거워하는 자들로 함께 즐거워하고 우는 자들로 함께 울라'
로마서 12:16,교훈,,55,서로 마음을 같이 하며 높은 데 마음을 두지 말고 도리어 낮은 데 처하며 스스로 지혜 있는 체 말라,'높은 데 마음을 두지 말고'
로마서 12:17,교훈,,38,아무에게도 악으로 악을 갚지말고 모든 사람 앞에서 선한 일을 도모하라,'악으로 악을 갚지말고'
로마서 12:18,교훈,,30,할 수 있거든 너희로서는 모든 사람으로 더불어 평화하라,'할 수 있거든 모든 사람으로 더불어 평화하라'
로마서 12:21,교훈,,20,악에게 지지 말고 선으로 악을 이기라,'악에게 지지 말고 선으로 악을 이기라'
로마서 13:8,교훈,,55,피차 사랑의 빚 외에는 아무에게든지 아무 빚도 지지 말라 남을 사랑하는 자는 율법을 다 이루었느니라,'사랑의 빚 외에는 아무 빚도 지지 말라'
로마서 13:10,교훈,,39,사랑은 이웃에게 악을 행치 아니하나니 그러므로 사랑은 율법의 완성이니라,'사랑은 율법의 완성이니라'
로마서 14:1,교훈,,36,믿음이 연약한 자를 너희가 받되 그의 의심하는 바를 비판하지 말라,'그의 의심하는 바를 비판하지 말라'
로마서 14:10,교훈,,59,네가 어찌하여 네 형제를 판단하느뇨 어찌하여 네 형제를 업신여기느뇨 우리가 다 하나님의 심판대 앞에 서리라,
로마서 15:1,교훈,,47,우리 강한 자가 마땅히 연약한 자의 약점을 담당하고 자기를 기쁘게 하지 아니할 것이라,'연약한 자의 약점을 담당하고'
로마서 15:2,교훈,,39,우리 각 사람이 이웃을 기쁘게 하되 선을 이루고 덕을 세우도록 할지니라,
로마서 15:13,위안,,65,소망의 하나님이 모든 기쁨과 평강을 믿음 안에서 너희에게 충만케 하사 성령의 능력으로 소망이 넘치게 하시기를 원하노라,'소망이 넘치게 하시기를'
고린도전서 3:18,교훈,,76,아무도 자기를 속이지 말라 너희 중에 누구든지 이 세상에서 지혜 있는 줄로 생각하거든 미련한 자가 되어라 그리하여야 지혜로운 자가 되리라,'미련한 자가 되어라 그리하여야 지혜로운 자가 되리라'
고린도전서 4:5,교훈,,101,그러므로 때가 이르기 전 곧 주께서 오시기까지 아무 것도 판단치 말라 그가 어두움에 감추인 것들을 드러내고 마음의 뜻을 나타내시리니 그때에 각 사람에게 하나님께로부터 칭찬이 있으리라,'아무 것도 판단치 말라'
고린도전서 6:19,교훈,,65,너희 몸은 너희가 하나님께로부터 받은 바 너희 가운데 계신 성령의 전인 줄을 알지 못하느냐 너희는 너희의 것이 아니라,합본 예상(6:19-20)
고린도전서 9:25,교훈,,65,이기기를 다투는 자마다 모든 일에 절제하나니 저희는 썩을 면류관을 얻고자 하되 우리는 썩지 아니할 것을 얻고자 하노라,'이기기를 다투는 자마다 모든 일에 절제하나니'
고린도전서 10:13,위안,,109,사람이 감당할 시험 밖에는 너희에게 당한 것이 없나니 오직 하나님은 미쁘사 너희가 감당치 못할 시험 당함을 허락지 아니하시고 시험 당할 즈음에 또한 피할 길을 내사 너희로 능히 감당하게 하시느니라,'피할 길을 내사 너희로 능히 감당하게 하시느니라'
고린도전서 10:24,교훈,,29,누구든지 자기의 유익을 구치 말고 남의 유익을 구하라,'자기의 유익을 구치 말고 남의 유익을 구하라'
고린도전서 13:3,교훈,,63,내가 내게 있는 모든 것으로 구제하고 또 내 몸을 불사르게 내어 줄지라도 사랑이 없으면 내게 아무 유익이 없느니라,
고린도전서 13:11,교훈,,91,내가 어렸을 때에는 말하는 것이 어린 아이와 같고 깨닫는 것이 어린 아이와 같고 생각하는 것이 어린 아이와 같다가 장성한 사람이 되어서는 어린 아이의 일을 버렸노라,'어린 아이의 일을 버렸노라'
