# 오늘의 말씀 선정 — 잠언·전도서 (교훈·지혜·위안 기준)
ref	type	note
잠언 1:7	교훈	
잠언 3:3	교훈	'네 마음판에 새기라'
잠언 3:5	교훈	
잠언 3:6	교훈	
잠언 3:7	교훈	
잠언 3:9	교훈	
잠언 3:11	교훈	합본 예상(3:11-12)
잠언 3:13	교훈	합본 예상(3:13-14)
잠언 3:15	교훈	
잠언 3:17	교훈	
잠언 3:18	교훈	
잠언 3:24	위안	
잠언 3:25	위안	합본 예상(3:25-26)
잠언 3:27	교훈	
잠언 3:34	교훈	
잠언 4:6	교훈	
잠언 4:7	교훈	
잠언 4:13	교훈	
잠언 4:23	교훈	
잠언 4:26	교훈	
잠언 5:21	교훈	
잠언 6:6	교훈	'개미에게로 가서'
잠언 6:23	교훈	
잠언 8:11	교훈	
잠언 8:17	교훈	
잠언 9:8	교훈	
잠언 9:9	교훈	
잠언 9:10	교훈	
잠언 10:12	교훈	
잠언 10:19	교훈	'말이 많으면 허물을 면키 어려우나'
잠언 10:22	교훈	
잠언 10:25	교훈	
잠언 11:2	교훈	
잠언 11:13	교훈	
잠언 11:14	교훈	
잠언 11:17	교훈	
잠언 11:24	교훈	
잠언 11:25	교훈	
잠언 11:28	교훈	
잠언 11:30	교훈	
잠언 12:1	교훈	
잠언 12:15	교훈	
잠언 12:16	교훈	
잠언 12:18	교훈	'지혜로운 자의 혀는 양약 같으니라'
잠언 12:19	교훈	
잠언 12:25	위안	'근심이 사람의 마음에 있으면'
잠언 13:3	교훈	
잠언 13:12	위안	'소망이 더디 이루게 되면'
잠언 13:14	교훈	
잠언 13:20	교훈	
잠언 14:10	위안	
잠언 14:13	위안	'웃을 때에도 마음에 슬픔이 있고'
잠언 14:21	교훈	
잠언 14:23	교훈	
잠언 14:26	교훈	
잠언 14:27	교훈	
잠언 14:29	교훈	
잠언 14:30	교훈	
잠언 14:31	교훈	
잠언 14:34	교훈	
잠언 15:1	교훈	
잠언 15:3	교훈	
잠언 15:4	교훈	
잠언 15:13	위안	
잠언 15:15	위안	'마음이 즐거운 자는 항상 잔치하느니라'
잠언 15:16	교훈	
잠언 15:17	교훈	'여간 채소를 먹으며 서로 사랑하는 것이'
잠언 15:18	교훈	
잠언 15:22	교훈	
잠언 15:23	교훈	'때에 맞은 말이 얼마나 아름다운고'
잠언 15:30	교훈	
잠언 15:33	교훈	
잠언 16:1	교훈	
잠언 16:2	교훈	
잠언 16:3	교훈	
잠언 16:7	교훈	'그 사람의 원수라도 그로 더불어 화목하게'
잠언 16:8	교훈	
잠언 3:14	교훈	3:13 합본용
잠언 4:18	교훈	필터 탈락('이르거니와') — 4:18-19 합본으로 복구
잠언 16:9	교훈	
잠언 16:16	교훈	
잠언 16:19	교훈	
잠언 16:20	교훈	
잠언 16:24	교훈	'선한 말은 꿀송이 같아서'
잠언 16:31	교훈	'백발은 영화의 면류관이라'
잠언 16:32	교훈	
잠언 16:33	교훈	
잠언 17:1	교훈	'마른 떡 한 조각만 있고도 화목하는 것이'
잠언 17:3	교훈	
잠언 17:5	교훈	
잠언 17:6	교훈	
잠언 17:9	교훈	'허물을 덮어 주는 자는 사랑을 구하는 자요'
잠언 17:14	교훈	
잠언 17:17	교훈	
잠언 17:22	위안	'마음의 즐거움은 양약이라도'
잠언 17:27	교훈	
잠언 17:28	교훈	
잠언 18:4	교훈	
잠언 18:10	교훈	
잠언 18:12	교훈	
잠언 18:13	교훈	'사연을 듣기 전에 대답하는 자는'
잠언 18:19	교훈	
잠언 18:21	교훈	필터 탈락 — 시드로 복구
잠언 18:24	교훈	'어떤 친구는 형제보다 친밀하니라'
잠언 19:2	교훈	
잠언 19:8	교훈	
잠언 19:11	교훈	'허물을 용서하는 것이 자기의 영광이니라'
잠언 19:17	교훈	'가난한 자를 불쌍히 여기는 것은 여호와께 꾸이는 것이니'
잠언 19:20	교훈	
잠언 19:21	교훈	
잠언 19:23	교훈	
잠언 20:5	교훈	
잠언 20:12	교훈	
잠언 20:22	교훈	
잠언 20:24	교훈	
잠언 20:27	교훈	'사람의 영혼은 여호와의 등불이라'
잠언 20:29	교훈	
잠언 21:3	교훈	
잠언 21:5	교훈	
잠언 21:13	교훈	
잠언 21:21	교훈	
잠언 21:23	교훈	
잠언 22:1	교훈	
잠언 22:4	교훈	
잠언 22:6	교훈	
잠언 22:9	교훈	
잠언 22:29	교훈	
잠언 23:4	교훈	
잠언 23:5	교훈	'재물은 날개를 내어 하늘에 나는 독수리처럼 날아가리라'
잠언 23:17	교훈	합본 예상(23:17-18)
잠언 23:22	교훈	
잠언 23:23	교훈	
잠언 24:3	교훈	합본 예상(24:3-4)
잠언 24:10	위안	
잠언 24:14	교훈	
잠언 24:16	위안	'의인은 일곱번 넘어질지라도 다시 일어나려니와'
잠언 24:27	교훈	
잠언 24:29	교훈	
잠언 25:11	교훈	'아로새긴 은쟁반에 금사과니라'
잠언 25:12	교훈	
잠언 25:13	교훈	
잠언 25:15	교훈	'부드러운 혀는 뼈를 꺾느니라'
잠언 25:20	위안	'마음이 상한 자에게 노래하는 것은'
잠언 25:21	교훈	
잠언 25:25	위안	
잠언 25:28	교훈	
잠언 26:12	교훈	
잠언 26:20	교훈	
잠언 26:27	교훈	
잠언 27:1	교훈	'너는 내일 일을 자랑하지 말라'
잠언 27:2	교훈	
잠언 27:5	교훈	합본 예상(27:5-6)
잠언 27:9	교훈	'친구의 충성된 권고가 이와 같이 아름다우니라'
잠언 27:10	교훈	'가까운 이웃이 먼 형제보다 나으니라'
잠언 27:17	교훈	
잠언 27:19	교훈	
잠언 27:21	교훈	
잠언 28:1	위안	'의인은 사자 같이 담대하니라'
잠언 28:13	교훈	'죄를 자복하고 버리는 자는 불쌍히 여김을 받으리라'
잠언 28:20	교훈	
잠언 28:23	교훈	
잠언 28:25	교훈	
잠언 28:26	교훈	
잠언 29:11	교훈	
잠언 29:18	교훈	'묵시가 없으면 백성이 방자히 행하거니와'
잠언 29:23	교훈	
잠언 29:25	교훈	'사람을 두려워하면 올무에 걸리게 되거니와'
잠언 31:10	교훈	
잠언 31:25	교훈	합본 예상(31:25-26)
잠언 31:30	교훈	
전도서 1:7	교훈	
전도서 1:9	교훈	'해 아래는 새 것이 없나니'
전도서 1:18	교훈	
전도서 2:24	교훈	
전도서 3:1	교훈	
전도서 3:11	위안	'사람에게 영원을 사모하는 마음을 주셨느니라'
전도서 3:12	교훈	합본 예상(3:12-13)
전도서 4:9	위안	
전도서 4:10	위안	
전도서 4:11	위안	
전도서 4:12	위안	'삼겹 줄은 쉽게 끊어지지 아니하느니라'
전도서 5:2	교훈	
전도서 5:10	교훈	'은을 사랑하는 자는 은으로 만족함이 없고'
전도서 5:12	위안	'노동자는 잠을 달게 자거니와 부자는 배부름으로 자지 못하느니라'
전도서 5:18	교훈	
전도서 5:19	교훈	
전도서 7:5	교훈	
전도서 7:8	위안	
전도서 7:9	교훈	
전도서 7:10	교훈	'옛날이 오늘보다 나은 것이 어찜이냐 하지 말라'
전도서 7:13	교훈	
전도서 7:14	교훈	
전도서 7:20	교훈	
전도서 7:29	교훈	
전도서 9:7	위안	
전도서 9:10	교훈	'네 손이 일을 당하는대로 힘을 다하여 할찌어다'
전도서 9:17	교훈	
전도서 10:10	교훈	
전도서 11:1	교훈	'네 식물을 물 위에 던지라'
전도서 11:4	교훈	
전도서 11:5	교훈	
전도서 11:6	교훈	
전도서 11:7	위안	'빛은 실로 아름다운 것이라'
전도서 12:13	교훈	'하나님을 경외하고 그 명령을 지킬지어다 이것이 사람의 본분이니라'
전도서 12:1	위안	필터 탈락 — 시드로 복구 '너의 창조자를 기억하라'
잠언 30:8	교훈	필터 탈락 — 아굴의 기도(탄원)
