reference,type,merged,len,text,note
잠언 1:7,교훈,,44,여호와를 경외하는 것이 지식의 근본이어늘 미련한 자는 지혜와 훈계를 멸시하느니라,
잠언 3:5,교훈,,34,너는 마음을 다하여 여호와를 의뢰하고 네 명철을 의지하지 말라,
잠언 3:6,교훈,,32,너는 범사에 그를 인정하라! 그리하면 네 길을 지도하시리라,
잠언 3:7,교훈,,36,스스로 지혜롭게 여기지 말지어다 여호와를 경외하며 악을 떠날지어다,
잠언 3:9,교훈,,32,네 재물과 네 소산물의 처음 익은 열매로 여호와를 공경하라,
잠언 3:13,교훈,,26,지혜를 얻은 자와 명철을 얻은 자는 복이 있나니,합본 예상(3:13-14)
잠언 3:15,교훈,,39,지혜는 진주보다 귀하니 너의 사모하는 모든 것으로 이에 비교할수 없도다,
잠언 3:18,교훈,,33,지혜는 그 얻은 자에게 생명나무라 지혜를 가진 자는 복되도다,
잠언 3:24,위안,,37,네가 누울 때에 두려워하지 아니하겠고 네가 누운즉 네 잠이 달리로다,
잠언 4:6,교훈,,41,지혜를 버리지 말라 그가 너를 보호하리라 그를 사랑하라 그가 너를 지키리라,
잠언 4:7,교훈,,42,지혜가 제일이니 지혜를 얻으라! 무릇 너의 얻은 것을 가져 명철을 얻을지니라,
잠언 4:13,교훈,,32,훈계를 굳게 잡아 놓치지 말고 지키라 이것이 네 생명이니라,
잠언 4:23,교훈,,41,무릇 지킬만한 것보다 더욱 네 마음을 지키라 생명의 근원이 이에서 남이니라,
잠언 5:21,교훈,,44,대저 사람의 길은 여호와의 눈 앞에 있나니 그가 그 모든 길을 평탄케 하시느니라,
잠언 6:6,교훈,,34,게으른 자여 개미에게로 가서 그 하는 것을 보고 지혜를 얻으라,'개미에게로 가서'
잠언 6:23,교훈,,36,대저 명령은 등불이요 법은 빛이요 훈계의 책망은 곧 생명의 길이라,
잠언 8:17,교훈,,46,나를 사랑하는 자들이 나의 사랑을 입으며 나를 간절히 찾는 자가 나를 만날 것이니라,
잠언 9:8,교훈,,56,거만한 자를 책망하지 말라 그가 너를 미워할까 두려우니라 지혜있는 자를 책망하라 그가 너를 사랑하리라,
잠언 9:9,교훈,,58,지혜 있는 자에게 교훈을 더하라 그가 더욱 지혜로와질 것이요 의로운 사람을 가르치라 그의 학식이 더하리라,
잠언 10:12,교훈,,30,미움은 다툼을 일으켜도 사랑은 모든 허물을 가리우느니라,
잠언 10:19,교훈,,41,말이 많으면 허물을 면키 어려우나 그 입술을 제어하는 자는 지혜가 있느니라,'말이 많으면 허물을 면키 어려우나'
잠언 10:22,교훈,,45,여호와께서 복을 주시므로 사람으로 부하게 하시고 근심을 겸하여 주지 아니하시느니라,
잠언 10:25,교훈,,35,회리바람이 지나가면 악인은 없어져도 의인은 영원한 기초 같으니라,
잠언 11:2,교훈,,32,교만이 오면 욕도 오거니와 겸손한 자에게는 지혜가 있느니라,
잠언 11:13,교훈,,49,두루 다니며 한담하는 자는 남의 비밀을 누설하나 마음이 신실한 자는 그런 것을 숨기느니라,
잠언 11:17,교훈,,44,인자한 자는 자기의 영혼을 이롭게 하고 잔인한 자는 자기의 몸을 해롭게 하느니라,
잠언 11:24,교훈,,45,흩어 구제하여도 더욱 부하게 되는 일이 있나니 과도히 아껴도 가난하게 될 뿐이니라,
잠언 11:25,교훈,,43,구제를 좋아하는 자는 풍족하여질 것이요 남을 윤택하게 하는 자는 윤택하여지리라,
잠언 11:28,교훈,,43,자기의 재물을 의지하는 자는 패망하려니와 의인은 푸른 잎사귀 같아서 번성하리라,
잠언 11:30,교훈,,30,의인의 열매는 생명나무라 지혜로운 자는 사람을 얻느니라,
잠언 12:1,교훈,,42,훈계를 좋아하는 자는 지식을 좋아하나니 징계를 싫어하는 자는 짐승과 같으니라,
