# 오늘의 말씀 선정 — 시편 (교훈·지혜·위안 기준)
# type 위안=지금 아픈 사람에게 건네는 말 · 교훈=살아가는 데 도움이 되는 통찰
# 찬양·신앙고백·교리 서술은 제외(시편 23:1 같은 '여호와는 나의 X시니' 형태 포함)
ref	type	note
시편 4:8	위안	
시편 9:9	위안	
시편 9:18	위안	
시편 16:6	교훈	
시편 18:28	위안	
시편 19:14	교훈	
시편 20:4	교훈	
시편 20:7	교훈	
시편 22:24	위안	
시편 23:4	위안	
시편 27:5	위안	
시편 27:10	위안	
시편 27:14	교훈	
시편 30:5	위안	
시편 30:11	위안	
시편 31:20	위안	
시편 32:1	위안	
시편 32:7	위안	
시편 32:8	교훈	
시편 34:4	위안	
시편 34:14	교훈	
시편 34:18	위안	
시편 34:19	위안	
시편 37:1	교훈	
시편 37:3	교훈	
시편 37:4	위안	
시편 37:5-6	교훈	
시편 37:7	교훈	
시편 37:8	교훈	
시편 37:11	교훈	
시편 37:16	교훈	
시편 37:23-24	위안	
시편 37:25	위안	
시편 37:37	교훈	
시편 40:1-2	위안	
시편 41:1	교훈	
시편 42:11	위안	
시편 46:2-3	위안	
시편 50:15	위안	
시편 51:10	위안	
시편 51:12	위안	
시편 51:17	위안	
시편 55:22	위안	
시편 56:3-4	위안	
시편 56:8	위안	
시편 61:2	위안	
시편 62:5	위안	
시편 62:8	위안	
시편 68:5	위안	
시편 68:19	위안	
시편 69:33-34	위안	
시편 71:18	위안	
시편 73:23	위안	
시편 73:26	위안	
시편 84:6	위안	
시편 84:11	교훈	
시편 86:7	위안	
시편 90:4	교훈	
시편 90:12	교훈	
시편 90:14	위안	
시편 90:17	위안	
시편 91:4-6	위안	
시편 91:11	위안	
시편 92:14-15	위안	
시편 94:18-19	위안	
시편 97:11	위안	
시편 102:17	위안	
시편 103:4-5	위안	
시편 103:12-14	위안	
시편 103:15	위안	
시편 106:3	교훈	
시편 107:14	위안	
시편 107:29	위안	
시편 107:30	위안	
시편 111:10	교훈	
시편 112:4	위안	
시편 112:7	위안	
시편 116:7	위안	
시편 116:8	위안	
시편 118:5	위안	
시편 118:8-9	교훈	
시편 118:17	위안	
시편 118:22-23	위안	
시편 118:24	교훈	
시편 119:9	교훈	
시편 119:50	위안	
시편 119:67	위안	
시편 119:71	위안	
시편 119:92	위안	
시편 119:143	위안	
시편 121:1-2	위안	
시편 121:3	위안	
시편 121:5-6	위안	
시편 121:7	위안	
시편 121:8	위안	
시편 124:7	위안	
시편 126:5	위안	
시편 127:1	교훈	
시편 127:2	교훈	
시편 127:3	교훈	
시편 128:2	교훈	
시편 130:6	위안	
시편 131:2	위안	
시편 133:1	교훈	
시편 138:3	위안	
시편 138:6	위안	
시편 138:7	위안	
시편 139:7-8	위안	
시편 139:12	위안	
시편 139:13	위안	
시편 139:14	위안	
시편 139:16	위안	
시편 139:23-24	위안	
시편 140:12	위안	
시편 141:3	교훈	
시편 143:8	위안	
시편 143:10	위안	
시편 145:14	위안	
시편 145:16	위안	
시편 145:18	위안	
시편 146:9	위안	
시편 147:3	위안	
