reference,type,merged,len,text,note
시편 4:8,위안,,46,내가 평안히 눕고 자기도 하리니 나를 안전히 거하게 하시는 이는 오직 여호와시니이다,
시편 9:9,위안,,36,여호와는 또 압제를 당하는 자의 산성이시요 환난 때의 산성이시로다,
시편 9:18,위안,,47,궁핍한 자가 항상 잊어 버림을 보지 아니함이여 가난한 자가 영영히 실망치 아니하리로다,
시편 16:6,교훈,,43,내게 줄로 재어 준 구역은 아름다운 곳에 있음이여 나의 기업이 실로 아름답도다,
시편 18:28,위안,,40,"주께서 나의 등불을 켜심이여, 여호와 내 하나님이 내 흑암을 밝히시리이다",
시편 19:14,교훈,,57,"나의 반석이시요 나의 구속자이신 여호와여, 내 입의 말과 마음의 묵상이 주의 앞에 열납되기를 원하나이다",
시편 20:4,교훈,,36,네 마음의 소원대로 허락하시고 네 모든 도모를 이루시기를 원하노라,
시편 20:7,교훈,,43,혹은 병거 혹은 말을 의지하나 우리는 여호와 우리 하나님의 이름을 자랑하리로다,
시편 22:24,위안,,65,그는 곤고한 자의 곤고를 멸시하거나 싫어하지 아니하시며 그 얼굴을 저에게서 숨기지 아니하시고 부르짖을 때에 들으셨도다,
시편 23:4,위안,,74,내가 사망의 음침한 골짜기로 다닐지라도 해를 두려워하지 않을것은 주께서 나와 함께 하심이라 주의 지팡이와 막대기가 나를 안위하시나이다,
시편 27:5,위안,,66,여호와께서 환난 날에 나를 그 초막 속에 비밀히 지키시고 그 장막 은밀한 곳에 나를 숨기시며 바위 위에 높이 두시리로다,
시편 27:10,위안,,29,내 부모는 나를 버렸으나 여호와는 나를 영접하시리이다,
시편 27:14,교훈,,35,너는 여호와를 바랄지어다! 강하고 담대하며 여호와를 바랄지어다!,
시편 30:5,위안,,52,그 노염은 잠간이요 그 은총은 평생이로다 저녁에는 울음이 기숙할지라도 아침에는 기쁨이 오리로다,
시편 30:11,위안,,49,주께서 나의 슬픔을 변하여 춤이 되게 하시며 나의 베옷을 벗기고 기쁨으로 띠 띠우셨나이다,
시편 31:20,위안,,69,주께서 저희를 주의 은밀한 곳에 숨기사 사람의 꾀에서 벗어나게 하시고 비밀히 장막에 감추사 구설의 다툼에서 면하게 하시리이다,
시편 32:1,위안,,33,허물의 사함을 얻고 그 죄의 가리움을 받은 자는 복이 있도다,
시편 32:7,위안,,44,주는 나의 은신처이오니 환난에서 나를 보호하시고 구원의 노래로 나를 에우시리이다,
시편 32:8,교훈,,33,내가 너의 갈 길을 가르쳐 보이고 너를 주목하여 훈계하리로다,
시편 34:4,위안,,40,내가 여호와께 구하매 내게 응답하시고 내 모든 두려움에서 나를 건지셨도다,
시편 34:14,교훈,,26,악을 버리고 선을 행하며 화평을 찾아 따를지어다,
시편 34:18,위안,,43,여호와는 마음이 상한 자에게 가까이 하시고 중심에 통회하는 자를 구원하시는도다,
시편 34:19,위안,,34,의인은 고난이 많으나 여호와께서 그 모든 고난에서 건지시는도다,
시편 37:1,교훈,,40,행악자를 인하여 불평하여 하지 말며 불의를 행하는 자를 투기하지 말지어다,
시편 37:3,교훈,,41,여호와를 의뢰하여 선을 행하라! 땅에 거하여 그의 성실로 식물을 삼을지어다,
시편 37:4,위안,,35,또 여호와를 기뻐하라! 저가 네 마음의 소원을 이루어 주시리로다,
시편 37:5-6,교훈,합본,66,너의 길을 여호와께 맡기라! 저를 의지하면 저가 이루시고 네 의를 빛같이 나타내시며 네 공의를 정오의 빛같이 하시리로다,
시편 37:7,교훈,,58,여호와 앞에 잠잠하고 참아 기다리라! 자기 길이 형통하며 악한 꾀를 이루는 자를 인하여 불평하여 말지어다,
시편 37:8,교훈,,33,분을 그치고 노를 버리라 불평하여 말라 행악에 치우칠 뿐이라,
시편 37:11,교훈,,32,오직 온유한 자는 땅을 차지하며 풍부한 화평으로 즐기리로다,
시편 37:16,교훈,,28,의인의 적은 소유가 많은 악인의 풍부함보다 승하도다,
시편 37:23-24,위안,합본,69,여호와께서 사람의 걸음을 정하시고 그 길을 기뻐하시나니 저는 넘어지나 아주 엎드러지지 아니함은 여호와께서 손으로 붙드심이로다,
시편 37:25,위안,,46,내가 어려서부터 늙기까지 의인이 버림을 당하거나 그 자손이 걸식함을 보지 못하였도다,
시편 37:37,교훈,,40,완전한 사람을 살피고 정직한 자를 볼지어다 화평한 자의 결국은 평안이로다,
시편 40:1-2,위안,합본,96,내가 여호와를 기다리고 기다렸더니 귀를 기울이사 나의 부르짖음을 들으셨도다 나를 기가 막힐 웅덩이와 수렁에서 끌어 올리시고 내 발을 반석위에 두사 내 걸음을 견고케 하셨도다,
시편 41:1,교훈,,45,빈약한 자를 권고하는 자가 복이 있음이여 재앙의 날에 여호와께서 저를 건지시리로다,
시편 42:11,위안,,84,내 영혼아! 네가 어찌하여 낙망하며 어찌하여 내 속에서 불안하여 하는고 너는 하나님을 바라라! 나는 내 얼굴을 도우시는 내 하나님을 오히려 찬송하리로다,
시편 46:2-3,위안,합본,80,그러므로 땅이 변하든지 산이 흔들려 바다 가운데 빠지든지 바닷물이 흉용하고 뛰놀든지 그것이 넘침으로 산이 요동할지라도 우리는 두려워 아니하리로다,
시편 50:15,위안,,40,환난 날에 나를 부르라! 내가 너를 건지리니 네가 나를 영화롭게 하리로다,
시편 51:10,위안,,44,"하나님이여, 내 속에 정한 마음을 창조하시고 내 안에 정직한 영을 새롭게 하소서",
